fileName,contractName,LOC,WFC,WMC,NPF,AFC,Max_cc,Avg_cc,MOA,CBO,RFC,CA,CE,IC,CBF,LCOF,LCOF3,CAF,DIT,NOC,MFA,DAM,NC,NTF,NSF,NATV,NDO,NRF,NE,TNP,TNMSV,NUAP,TNTDF,bugTotalNumber,DAOMethodCall,DelegateCallWithUserInput,UnsafeCallTarget,TODAmount,TODReceiver,TODTransfer,DAO,DAOConstantGas,UnprivilegedSuicide,UnrestrictedEtherFlow,UnrestrictedWrite,UseOfOrigin,IntegerOverflow,DivisionBeforeCallvalue,DivisionBeforeMultiply,LockedEther,MissingInputValidation,UnhandledException,WriteOnly,UnsafeDependenceOnBlock,UnsafeDependenceOnGas
0x0bd344cade9a06d1798140023f56fb0f56d48afe,ERC20Basic,6,3,0,3,1.0,1,0.75,0,2,3,2,0,0,0,0,0,0.5,0,2,0.0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bd344cade9a06d1798140023f56fb0f56d48afe,ERC20,6,3,0,3,1.0,1,0.75,1,3,3,2,1,1,0,0,0,0.8333333333333334,1,2,0.0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bd344cade9a06d1798140023f56fb0f56d48afe,Exchangable,17,2,0,0,4.0,1,0.6666666666666666,3,4,6,1,3,2,0,0,2.0,0.75,3,1,0.0,0.0,0,0,0,0,0,0,1,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bd344cade9a06d1798140023f56fb0f56d48afe,Token2GT,1,1,0,0,1.0,1,0.5,0,1,1,1,0,0,0,0,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bd344cade9a06d1798140023f56fb0f56d48afe,Token2GB,13,1,0,1,8.0,1,0.5,3,3,1,0,3,3,0,0,0,1.0,4,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bd344cade9a06d1798140023f56fb0f56d48afe,DetailedERC20,11,1,0,1,5.0,1,0.5,1,2,1,1,1,1,0,0,0,1.0,2,1,0.0,0.0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bd344cade9a06d1798140023f56fb0f56d48afe,Ownable,34,2,1,2,4.0,1,0.6666666666666666,0,2,7,2,0,0,0,0,1.5,0.5,0,2,0.0,0.0,0,0,0,1,0,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bd344cade9a06d1798140023f56fb0f56d48afe,BasicToken,39,3,0,3,5.0,1,0.75,1,4,9,2,2,1,0,1,1.5,0.5,1,2,0.0,1.0,0,0,0,1,0,2,0,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0x0bd344cade9a06d1798140023f56fb0f56d48afe,BurnableToken,16,1,0,1,10.0,1,0.5,2,3,7,1,2,2,0,0,0,1.0,2,1,0.0,0,0,0,0,0,0,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bd344cade9a06d1798140023f56fb0f56d48afe,StandardToken,87,5,0,5,6.8,2,1.0,2,3,18,1,2,2,0,0,1.25,0.6,2,1,0.0,1.0,0,0,0,2,0,3,0,11,5,11,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
